0: (100, 100, 3, 600, 6)
1: (100, 100, 3, 800, 6)
2: (100, 100, 3, 1000, 6)
3: (100, 100, 3, 1200, 6)
4: (100, 100, 4, 600, 6)
5: (100, 100, 4, 800, 6)
6: (100, 100, 4, 1000, 6)
7: (100, 100, 4, 1200, 6)
8: (100, 100, 5, 600, 6)
9: (100, 100, 5, 800, 6)
10: (100, 100, 5, 1000, 6)
11: (100, 100, 5, 1200, 6)
12: (100, 100, 6, 600, 6)
13: (100, 100, 6, 800, 6)
14: (100, 100, 6, 1000, 6)
15: (100, 100, 6, 1200, 6)
16: (100, 100, 7, 600, 6)
17: (100, 100, 7, 800, 6)
18: (100, 100, 7, 1000, 6)
19: (100, 100, 7, 1200, 6)
20: (100, 100, 8, 600, 6)
21: (100, 100, 8, 800, 6)
22: (100, 100, 8, 1000, 6)
23: (100, 100, 8, 1200, 6)
24: (100, 100, 9, 600, 6)
25: (100, 100, 9, 800, 6)
26: (100, 100, 9, 1000, 6)
27: (100, 100, 9, 1200, 6)
28: (100, 100, 10, 600, 6)
29: (100, 100, 10, 800, 6)
30: (100, 100, 10, 1000, 6)
31: (100, 100, 10, 1200, 6)
32: (100, 100, 12, 600, 6)
33: (100, 100, 12, 800, 6)
34: (100, 100, 12, 1000, 6)
35: (100, 100, 12, 1200, 6)
36: (100, 200, 3, 600, 6)
37: (100, 200, 3, 800, 6)
38: (100, 200, 3, 1000, 6)
39: (100, 200, 3, 1200, 6)
40: (100, 200, 4, 600, 6)
41: (100, 200, 4, 800, 6)
42: (100, 200, 4, 1000, 6)
43: (100, 200, 4, 1200, 6)
44: (100, 200, 5, 600, 6)
45: (100, 200, 5, 800, 6)
46: (100, 200, 5, 1000, 6)
47: (100, 200, 5, 1200, 6)
48: (100, 200, 6, 600, 6)
49: (100, 200, 6, 800, 6)
50: (100, 200, 6, 1000, 6)
51: (100, 200, 6, 1200, 6)
52: (100, 200, 7, 600, 6)
53: (100, 200, 7, 800, 6)
54: (100, 200, 7, 1000, 6)
55: (100, 200, 7, 1200, 6)
56: (100, 200, 8, 600, 6)
57: (100, 200, 8, 800, 6)
58: (100, 200, 8, 1000, 6)
59: (100, 200, 8, 1200, 6)
60: (100, 200, 9, 600, 6)
61: (100, 200, 9, 800, 6)
62: (100, 200, 9, 1000, 6)
63: (100, 200, 9, 1200, 6)
64: (100, 200, 10, 600, 6)
65: (100, 200, 10, 800, 6)
66: (100, 200, 10, 1000, 6)
67: (100, 200, 10, 1200, 6)
68: (100, 200, 12, 600, 6)
69: (100, 200, 12, 800, 6)
70: (100, 200, 12, 1000, 6)
71: (100, 200, 12, 1200, 6)
